brand,model,spec_group,spec_name,raw_value,normalized_value,unit,source_url
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,D° (mm),ARC-INNER,ARC-INNER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,D° (mm),ARC-INNER,ARC-INNER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,D° (mm),ARC-OUTER,ARC-OUTER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_3,Datasheet,DLC3 - RGBW,DLC3 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,D° (mm),ARC-OUTER,ARC-OUTER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_3,Datasheet,DLC3 - RGBW,DLC3 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,D° (mm),ARC-OUTER,ARC-OUTER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_3,Datasheet,DLC3 - RGBW,DLC3 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,D° (mm),90,90,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_3,Datasheet,DLF5 - RGBW,DLF5 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
