severity,issue_type,model,family_name,detail,source_url
medium,low_core_field_coverage,F-DLC3-00-130-8-FWNA-24V,DL-F-DLC3-00-130-8-FWNA-24V,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-f-dlc3-00-130-8-fwna-24v
medium,low_core_field_coverage,F-HPD3-00-130-8-FWNA-24V,DL-F-HPD3-00-130-8-FWNA-24V,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-f-hpd3-00-130-8-fwna-24v
medium,low_core_field_coverage,F-IDQ-00-130-8-FWNA-24V,DL-F-IDQ-00-130-8-FWNA-24V,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-f-idq-00-130-8-fwna-24v
medium,low_core_field_coverage,F-IDS5-00-130-8-FWNA-24V,DL-F-IDS5-00-130-8-FWNA-24V,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-f-ids5-00-130-8-fwna-24v
medium,low_core_field_coverage,40A,PTP-40-320x80-4.2V-40A,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/ptp-40-320x80-4.2v-40a-2069708409
medium,low_core_field_coverage,MA-IDD-X-150D30-4-RGBW-12V-16CH,DL-MA-IDD-X-150D30-4-RGBW-12V-16CH,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-ma-idd-x-150d30-4-rgbw-12v-16ch
medium,low_core_field_coverage,MA-IDD-X-225D40-8-RGBW-24V-16CH,DL-MA-IDD-X-225D40-8-RGBW-24V-16CH,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-ma-idd-x-225d40-8-rgbw-24v-16ch
medium,low_core_field_coverage,MA-IDD-X-225D40-8-RGBW-24V-16CH,D-MA-IDD-X-225D40-8-RGBW-24V-16CH,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-ma-idd-x-225d40-8-rgbw-24v-16ch-rs232
medium,low_core_field_coverage,MA-IDQ-X-150D30-4-RGBW-12V-16CH,DL-MA-IDQ-X-150D30-4-RGBW-12V-16CH,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-ma-idq-x-150d30-4-rgbw-12v-16ch
medium,low_core_field_coverage,MA-IDQ-X-225D40-8-RGBW-24V-16CH,DL-MA-IDQ-X-225D40-8-RGBW-24V-16CH,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dl-ma-idq-x-225d40-8-rgbw-24v-16ch
