public_model,internal_model,original_product_id,product_source_url,raw_html_path,image_source_url,image_alt,image_selection_reason,local_image_file,download_status,download_error
IOO-F-DLC3-00-130-8-FWNA-24V,F-DLC3-00-130-8-FWNA-24V,1,https://www.tms-lite.com/dl-f-dlc3-00-130-8-fwna-24v,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_8ch-multi-wavelength-lighting-with-built-in-driver_dl-f-dlc3-00-130-8-fwna-24v_acc6d5351d.html,https://www.tms-lite.com/image/cache/data/theme/New%20Product%202026/new/dl-f-dlc3-00-130-8-fwna-24v_080426113109-870x262_0.png,DL-F-DLC3-00-130-8-FWNA-24V,title match; image extension,,pending_download,
IOO-F-HPD3-00-130-8-FWNA-24V,F-HPD3-00-130-8-FWNA-24V,2,https://www.tms-lite.com/dl-f-hpd3-00-130-8-fwna-24v,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_8ch-multi-wavelength-lighting-with-built-in-driver_dl-f-hpd3-00-130-8-fwna-24v_0c2b08654c.html,https://www.tms-lite.com/image/cache/data/theme/New%20Product%202026/new/dl-f-hpd3-00-130-8-fwna-24v_080426113109-870x262_0.png,DL-F-HPD3-00-130-8-FWNA-24V,title match; image extension,,pending_download,
IOO-F-IDQ-00-130-8-FWNA-24V,F-IDQ-00-130-8-FWNA-24V,3,https://www.tms-lite.com/dl-f-idq-00-130-8-fwna-24v,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_8ch-multi-wavelength-lighting-with-built-in-driver_dl-f-idq-00-130-8-fwna-24v_e4a8558006.html,https://www.tms-lite.com/image/cache/data/theme/New%20Product%202026/new/dl-f-idq-00-130-8-fwna-24v_080426113109-870x262_0.png,DL-F-IDQ-00-130-8-FWNA-24V,title match; image extension,,pending_download,
IOO-F-IDS5-00-130-8-FWNA-24V,F-IDS5-00-130-8-FWNA-24V,4,https://www.tms-lite.com/dl-f-ids5-00-130-8-fwna-24v,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_8ch-multi-wavelength-lighting-with-built-in-driver_dl-f-ids5-00-130-8-fwna-24v_900c41d8e1.html,https://www.tms-lite.com/image/cache/data/theme/New%20Product%202026/new/dl-f-ids5-00-130-8-fwna-24v_080426113109-870x262_0.png,DL-F-IDS5-00-130-8-FWNA-24V,title match; image extension,,pending_download,
IOO-40A,40A,5,https://www.tms-lite.com/ptp-40-320x80-4.2v-40a-2069708409,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_micro-led-projector-1486799016_ptp-40-320x80-4.2v-40a-2069708409_2640016035.html,https://www.tms-lite.com/image/cache/data/theme/New%20Product%202026/ptp-40-320x80-4-2v-40a_300126121730-870x262_0.png,PTP-40-320x80-4.2V-40A,title match; image extension,,pending_download,
IOO-MA-IDD-X-150D30-4-RGBW-12V-16CH,MA-IDD-X-150D30-4-RGBW-12V-16CH,6,https://www.tms-lite.com/dl-ma-idd-x-150d30-4-rgbw-12v-16ch,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_multi-angle-lighting-with-built-in-driver-with-camera-and-liquid-lens_dl-ma-idd-x-150d30-4-rgbw_a7797adee1.html,https://www.tms-lite.com/image/data/theme/PTS/pts3-blue_220124104333.png,DL-MA-IDD-X-150D30-4-RGBW-12V-16CH,image extension,,pending_download,
IOO-MA-IDD-X-225D40-8-RGBW-24V-16CH,MA-IDD-X-225D40-8-RGBW-24V-16CH,7,https://www.tms-lite.com/dl-ma-idd-x-225d40-8-rgbw-24v-16ch,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_multi-angle-lighting-with-built-in-driver-with-camera-and-liquid-lens_dl-ma-idd-x-225d40-8-rgbw_5407f976c8.html,https://www.tms-lite.com/image/data/theme/PTS/pts3-blue_220124104333.png,DL-MA-IDD-X-225D40-8-RGBW-24V-16CH,image extension,,pending_download,
IOO-MA-IDD-X-225D40-8-RGBW-24V-16CH-2,MA-IDD-X-225D40-8-RGBW-24V-16CH,8,https://www.tms-lite.com/dl-ma-idd-x-225d40-8-rgbw-24v-16ch-rs232,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_multi-angle-lighting-with-built-in-driver-with-camera-and-liquid-lens_dl-ma-idd-x-225d40-8-rgbw_167c1eefcc.html,https://www.tms-lite.com/image/data/theme/PTS/pts3-blue_220124104333.png,D-MA-IDD-X-225D40-8-RGBW-24V-16CH,image extension,,pending_download,
IOO-MA-IDQ-X-150D30-4-RGBW-12V-16CH,MA-IDQ-X-150D30-4-RGBW-12V-16CH,9,https://www.tms-lite.com/dl-ma-idq-x-150d30-4-rgbw-12v-16ch,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_multi-angle-lighting-with-built-in-driver-with-camera-and-liquid-lens_dl-ma-idq-x-150d30-4-rgbw_3c5c4f4d4f.html,https://www.tms-lite.com/image/data/theme/PTS/pts3-blue_220124104333.png,DL-MA-IDQ-X-150D30-4-RGBW-12V-16CH,image extension,,pending_download,
IOO-MA-IDQ-X-225D40-8-RGBW-24V-16CH,MA-IDQ-X-225D40-8-RGBW-24V-16CH,10,https://www.tms-lite.com/dl-ma-idq-x-225d40-8-rgbw-24v-16ch,C:\Users\cxsun\Documents\Codex\2026-05-18\tms-lite-com-ai\data\raw\html\www.tms-lite.com_2026-new-products_multi-angle-lighting-with-built-in-driver-with-camera-and-liquid-lens_dl-ma-idq-x-225d40-8-rgbw_bfb9e63d09.html,https://www.tms-lite.com/image/data/theme/PTS/pts3-blue_220124104333.png,DL-MA-IDQ-X-225D40-8-RGBW-24V-16CH,image extension,,pending_download,
