public_model,public_brand,internal_model,internal_supplier,original_product_id,original_source_table,original_source_url,mapping_rule,mapping_confidence
IOO-F-DLC3-00-130-8-FWNA-24V,IOO,F-DLC3-00-130-8-FWNA-24V,private_oem_supplier,1,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-dlc3-00-130-8-fwna-24v,prefix_ioo,high
IOO-F-HPD3-00-130-8-FWNA-24V,IOO,F-HPD3-00-130-8-FWNA-24V,private_oem_supplier,2,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-hpd3-00-130-8-fwna-24v,prefix_ioo,high
IOO-F-IDQ-00-130-8-FWNA-24V,IOO,F-IDQ-00-130-8-FWNA-24V,private_oem_supplier,3,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-idq-00-130-8-fwna-24v,prefix_ioo,high
IOO-F-IDS5-00-130-8-FWNA-24V,IOO,F-IDS5-00-130-8-FWNA-24V,private_oem_supplier,4,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-ids5-00-130-8-fwna-24v,prefix_ioo,high
IOO-40A,IOO,40A,private_oem_supplier,5,data/tms_lite_full.db.products,https://www.tms-lite.com/ptp-40-320x80-4.2v-40a-2069708409,prefix_ioo,high
IOO-MA-IDD-X-150D30-4-RGBW-12V-16CH,IOO,MA-IDD-X-150D30-4-RGBW-12V-16CH,private_oem_supplier,6,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-ma-idd-x-150d30-4-rgbw-12v-16ch,prefix_ioo,high
IOO-MA-IDD-X-225D40-8-RGBW-24V-16CH,IOO,MA-IDD-X-225D40-8-RGBW-24V-16CH,private_oem_supplier,7,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-ma-idd-x-225d40-8-rgbw-24v-16ch,prefix_ioo,high
IOO-MA-IDD-X-225D40-8-RGBW-24V-16CH-2,IOO,MA-IDD-X-225D40-8-RGBW-24V-16CH,private_oem_supplier,8,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-ma-idd-x-225d40-8-rgbw-24v-16ch-rs232,prefix_ioo,high
IOO-MA-IDQ-X-150D30-4-RGBW-12V-16CH,IOO,MA-IDQ-X-150D30-4-RGBW-12V-16CH,private_oem_supplier,9,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-ma-idq-x-150d30-4-rgbw-12v-16ch,prefix_ioo,high
IOO-MA-IDQ-X-225D40-8-RGBW-24V-16CH,IOO,MA-IDQ-X-225D40-8-RGBW-24V-16CH,private_oem_supplier,10,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-ma-idq-x-225d40-8-rgbw-24v-16ch,prefix_ioo,high
IOO-MA-IDQ-X-225D40-8-RGBW-24V-16CH-2,IOO,MA-IDQ-X-225D40-8-RGBW-24V-16CH,private_oem_supplier,11,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-ma-idq-x-225d40-8-rgbw-24v-16ch-rs232,prefix_ioo,high
IOO-F-DLC3-00-130-1-FWNB-24V,IOO,F-DLC3-00-130-1-FWNB-24V,private_oem_supplier,12,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-dlc3-00-130-1-fwnb-24v-67359344,prefix_ioo,high
IOO-F-HPD3-00-130-1-FWNB-24V,IOO,F-HPD3-00-130-1-FWNB-24V,private_oem_supplier,13,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-hpd3-00-130-1-fwnb-24v,prefix_ioo,high
IOO-F-IDQ-00-130-1-FWNB-24V,IOO,F-IDQ-00-130-1-FWNB-24V,private_oem_supplier,14,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-idq-00-130-1-fwnb-24v,prefix_ioo,high
IOO-F-IDS5-00-130-1-FWNB-24V,IOO,F-IDS5-00-130-1-FWNB-24V,private_oem_supplier,15,data/tms_lite_full.db.products,https://www.tms-lite.com/dl-f-ids5-00-130-1-fwnb-24v,prefix_ioo,high
