public_model,public_brand,light_type,internal_model,internal_supplier,internal_product_id
IOO-DF-0001,IOO,dark_field,F-DLC3-00-130-8-FWNA-24V,private_supplier,1
IOO-DF-0002,IOO,dark_field,F-HPD3-00-130-8-FWNA-24V,private_supplier,2
IOO-CL-0001,IOO,coaxial_light,F-IDQ-00-130-8-FWNA-24V,private_supplier,3
IOO-DF-0003,IOO,dark_field,F-IDS5-00-130-8-FWNA-24V,private_supplier,4
IOO-LT-0001,IOO,illumination,40A,private_supplier,5
IOO-LT-0002,IOO,illumination,MA-IDD-X-150D30-4-RGBW-12V-16CH,private_supplier,6
IOO-LT-0003,IOO,illumination,MA-IDD-X-225D40-8-RGBW-24V-16CH,private_supplier,7
IOO-LT-0004,IOO,illumination,MA-IDD-X-225D40-8-RGBW-24V-16CH,private_supplier,8
IOO-CL-0002,IOO,coaxial_light,MA-IDQ-X-150D30-4-RGBW-12V-16CH,private_supplier,9
IOO-CL-0003,IOO,coaxial_light,MA-IDQ-X-225D40-8-RGBW-24V-16CH,private_supplier,10
IOO-CL-0004,IOO,coaxial_light,MA-IDQ-X-225D40-8-RGBW-24V-16CH,private_supplier,11
IOO-DF-0004,IOO,dark_field,F-DLC3-00-130-1-FWNB-24V,private_supplier,12
IOO-DF-0005,IOO,dark_field,F-HPD3-00-130-1-FWNB-24V,private_supplier,13
IOO-CL-0005,IOO,coaxial_light,F-IDQ-00-130-1-FWNB-24V,private_supplier,14
IOO-DF-0006,IOO,dark_field,F-IDS5-00-130-1-FWNB-24V,private_supplier,15
IOO-BAR-0001,IOO,bar_light,DIRECT ILLUMINATION - HLBQ2 2 ROWS,private_supplier,35
IOO-BAR-0002,IOO,bar_light,DIRECT ILLUMINATION - HLBS2 2 ROWS,private_supplier,36
IOO-LT-0005,IOO,illumination,LBRX-12,private_supplier,37
IOO-LT-0006,IOO,illumination,PM2-025,private_supplier,38
IOO-LT-0007,IOO,illumination,PM2-040,private_supplier,39
IOO-LT-0008,IOO,illumination,CAS2,private_supplier,43
IOO-LT-0009,IOO,illumination,DLF3,private_supplier,44
IOO-LT-0010,IOO,illumination,DLR3,private_supplier,45
IOO-LT-0011,IOO,illumination,HPD2,private_supplier,46
IOO-LT-0012,IOO,illumination,IDS5,private_supplier,47
IOO-LS-0001,IOO,line_scan_light,LSW2,private_supplier,48
IOO-CL-0006,IOO,coaxial_light,MD-IDQ3,private_supplier,49
IOO-LT-0013,IOO,illumination,MD-IDT3,private_supplier,50
IOO-LT-0014,IOO,illumination,LBRQ-1,private_supplier,51
IOO-LT-0015,IOO,illumination,LBRX-1,private_supplier,52
IOO-LT-0016,IOO,illumination,DXX,private_supplier,53
IOO-LT-0017,IOO,illumination,IDDC,private_supplier,54
IOO-LT-0018,IOO,illumination,LLAC,private_supplier,55
IOO-CL-0007,IOO,coaxial_light,LSWC,private_supplier,56
IOO-DF-0007,IOO,dark_field,DLC2,private_supplier,57
IOO-LT-0019,IOO,illumination,HPD,private_supplier,58
IOO-LT-0020,IOO,illumination,MD-MLBQ,private_supplier,59
IOO-LT-0021,IOO,illumination,MLBQ,private_supplier,60
IOO-LT-0022,IOO,illumination,HPD,private_supplier,61
IOO-LT-0023,IOO,illumination,LLA,private_supplier,62
IOO-LS-0002,IOO,line_scan_light,LSW,private_supplier,63
IOO-CL-0008,IOO,coaxial_light,CAS2-00-010-X-X,private_supplier,64
IOO-CL-0009,IOO,coaxial_light,CAS2-00-020-X-X,private_supplier,65
IOO-CL-0010,IOO,coaxial_light,CAS2-00-025-X-X,private_supplier,66
IOO-CL-0011,IOO,coaxial_light,CAS2-00-040-X-X,private_supplier,67
IOO-CL-0012,IOO,coaxial_light,CAS2-00-070-X-X,private_supplier,68
IOO-CL-0013,IOO,coaxial_light,CAS2-00-080-X-X,private_supplier,69
IOO-CL-0014,IOO,coaxial_light,CAS2-00-100-X-X,private_supplier,70
IOO-CL-0015,IOO,coaxial_light,CAS20-00-20X40-X-X,private_supplier,71
IOO-CL-0016,IOO,coaxial_light,CAS25-00-25X50-X-X,private_supplier,72
IOO-CL-0017,IOO,coaxial_light,CAS30-00-30X60-X-X,private_supplier,73
IOO-CL-0018,IOO,coaxial_light,CAS2-00-025-X-RGB,private_supplier,74
IOO-CL-0019,IOO,coaxial_light,CAS2-00-040-X-RGB,private_supplier,75
IOO-CL-0020,IOO,coaxial_light,CAS2-00-070-X-RGB,private_supplier,76
IOO-CL-0021,IOO,coaxial_light,CAS2-00-100-X-RGB,private_supplier,77
IOO-CL-0022,IOO,coaxial_light,CAS2-00-040-X-RGBW,private_supplier,78
IOO-CL-0023,IOO,coaxial_light,CAS2-00-070-X-RGBW,private_supplier,79
IOO-LT-0024,IOO,illumination,CAS2-00-025-X-RGB,private_supplier,80
IOO-LT-0025,IOO,illumination,CAS2-00-040-X-RGB,private_supplier,81
IOO-LT-0026,IOO,illumination,CAS2-00-070-X-RGB,private_supplier,82
IOO-LT-0027,IOO,illumination,CAS2-00-100-X-RGB,private_supplier,83
IOO-CL-0024,IOO,coaxial_light,CASC-00-015-X-X,private_supplier,84
IOO-CL-0025,IOO,coaxial_light,CASC-00-025-X-X,private_supplier,85
IOO-CL-0026,IOO,coaxial_light,CASC-00-035-X-X,private_supplier,86
IOO-CL-0027,IOO,coaxial_light,HCAS2-00-035-X-X,private_supplier,87
IOO-CL-0028,IOO,coaxial_light,HCAS2-00-070-X-X,private_supplier,88
IOO-CL-0029,IOO,coaxial_light,CAS3-00-150-X-X Beam splitter assembly guideline,private_supplier,89
IOO-CL-0030,IOO,coaxial_light,CAS3-00-200-X-X Beam splitter assembly guideline Video beam splitter assembly,private_supplier,90
IOO-CL-0031,IOO,coaxial_light,CAS3-00-250-X-X Beam splitter assembly guideline Video beam splitter assembly,private_supplier,91
IOO-CL-0032,IOO,coaxial_light,CAS3-00-150-X-X,private_supplier,92
IOO-CL-0033,IOO,coaxial_light,CAS3-00-200-X-X,private_supplier,93
IOO-CL-0034,IOO,coaxial_light,CAS3-00-250-X-X,private_supplier,94
IOO-CL-0035,IOO,coaxial_light,CAS2-45-010-X-X,private_supplier,95
IOO-CL-0036,IOO,coaxial_light,CAS2-45-020-X-X,private_supplier,96
IOO-CL-0037,IOO,coaxial_light,CAS2-45-040-X-X,private_supplier,97
IOO-LT-0028,IOO,illumination,HPD-00-070-1-X-24V,private_supplier,99
IOO-LT-0029,IOO,illumination,UV385,private_supplier,100
IOO-LT-0030,IOO,illumination,UV395,private_supplier,101
IOO-LT-0031,IOO,illumination,UV405,private_supplier,102
