public_brand,public_model,product_family,series,product_category,light_type,color,wavelength_nm,voltage_v,current_a,power_w,dimensions,description,public_description,recommendation_tags,key_specs
IOO,IOO-F-DLC3-00-130-8-FWNA-24V,DL-F-DLC3-00-130-8-FWNA-24V,DL-F-DLC3-00-130-8-FWNA-24V,illumination,dark_field,white,white,not available,not available,not available,not available,DL-F-DLC3-00-130-8-FWNA-24V,IOO dark field configuration for surface contrast and defect visibility experiments.,24v|dark_field|machine_vision_lighting|scratch_detection,not available
IOO,IOO-F-HPD3-00-130-8-FWNA-24V,DL-F-HPD3-00-130-8-FWNA-24V,DL-F-HPD3-00-130-8-FWNA-24V,illumination,dark_field,white,white,not available,not available,not available,not available,DL-F-HPD3-00-130-8-FWNA-24V,IOO dark field configuration for surface contrast and defect visibility experiments.,24v|dark_field|machine_vision_lighting|scratch_detection,not available
IOO,IOO-F-IDQ-00-130-8-FWNA-24V,DL-F-IDQ-00-130-8-FWNA-24V,DL-F-IDQ-00-130-8-FWNA-24V,illumination,coaxial_light,white,white,not available,not available,not available,not available,DL-F-IDQ-00-130-8-FWNA-24V,"IOO coaxial light configuration for flat-part, electronics, and controlled reflection inspection.",24v|coaxial_light|machine_vision_lighting|pcb_inspection|reflective_surface,not available
IOO,IOO-F-IDS5-00-130-8-FWNA-24V,DL-F-IDS5-00-130-8-FWNA-24V,DL-F-IDS5-00-130-8-FWNA-24V,illumination,dark_field,white,white,not available,not available,not available,not available,DL-F-IDS5-00-130-8-FWNA-24V,IOO dark field configuration for surface contrast and defect visibility experiments.,24v|dark_field|machine_vision_lighting|scratch_detection,not available
IOO,IOO-40A,PTP-40-320x80-4.2V-40A,PTP-40-320x80-4,illumination,machine_vision_light,not available,not available,not available,not available,not available,not available,PTP-40-320x80-4.2V-40A,IOO machine vision light configuration for machine vision lighting evaluation.,machine_vision_light|machine_vision_lighting,not available
IOO,IOO-MA-IDD-X-150D30-4-RGBW-12V-16CH,DL-MA-IDD-X-150D30-4-RGBW-12V-16CH,DL-MA-IDD-X-150D30-4-RGBW-12V-16CH,illumination,coaxial_light,red / green / blue / white,625 / 525 / 470 / white,not available,not available,not available,not available,DL-MA-IDD-X-150D30-4-RGBW-12V-16CH,"IOO coaxial light configuration for flat-part, electronics, and controlled reflection inspection.",coaxial_light|machine_vision_lighting|pcb_inspection|red_light|reflective_surface,not available
IOO,IOO-MA-IDD-X-225D40-8-RGBW-24V-16CH,DL-MA-IDD-X-225D40-8-RGBW-24V-16CH,DL-MA-IDD-X-225D40-8-RGBW-24V-16CH,illumination,coaxial_light,red / green / blue / white,625 / 525 / 470 / white,not available,not available,not available,not available,DL-MA-IDD-X-225D40-8-RGBW-24V-16CH,"IOO coaxial light configuration for flat-part, electronics, and controlled reflection inspection.",24v|coaxial_light|machine_vision_lighting|pcb_inspection|red_light|reflective_surface,not available
IOO,IOO-MA-IDD-X-225D40-8-RGBW-24V-16CH-2,D-MA-IDD-X-225D40-8-RGBW-24V-16CH,D-MA-IDD-X-225D40-8-RGBW-24V-16CH,illumination,coaxial_light,red / green / blue / white,625 / 525 / 470 / white,not available,not available,not available,not available,D-MA-IDD-X-225D40-8-RGBW-24V-16CH,"IOO coaxial light configuration for flat-part, electronics, and controlled reflection inspection.",24v|coaxial_light|machine_vision_lighting|pcb_inspection|red_light|reflective_surface,not available
IOO,IOO-MA-IDQ-X-150D30-4-RGBW-12V-16CH,DL-MA-IDQ-X-150D30-4-RGBW-12V-16CH,DL-MA-IDQ-X-150D30-4-RGBW-12V-16CH,illumination,coaxial_light,red / green / blue / white,625 / 525 / 470 / white,not available,not available,not available,not available,DL-MA-IDQ-X-150D30-4-RGBW-12V-16CH,"IOO coaxial light configuration for flat-part, electronics, and controlled reflection inspection.",coaxial_light|machine_vision_lighting|pcb_inspection|red_light|reflective_surface,not available
IOO,IOO-MA-IDQ-X-225D40-8-RGBW-24V-16CH,DL-MA-IDQ-X-225D40-8-RGBW-24V-16CH,DL-MA-IDQ-X-225D40-8-RGBW-24V-16CH,illumination,coaxial_light,red / green / blue / white,625 / 525 / 470 / white,not available,not available,not available,not available,DL-MA-IDQ-X-225D40-8-RGBW-24V-16CH,"IOO coaxial light configuration for flat-part, electronics, and controlled reflection inspection.",24v|coaxial_light|machine_vision_lighting|pcb_inspection|red_light|reflective_surface,not available
